Rk,Player,Season,Age,Tm,Lg,TRB%,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
51,Jonathon Simmons\simmojo02,2016-17,27,SAS,NBA,6.5,78,8,1392,9.9,.242,.314,1.7,11.1,13.2,1.7,1.5,13.7,18.0,100,105,-0.1,2.1,2.0,.068,-2.8,0.9,-1.9,0.0
52,John Wall\walljo01,2016-17,26,WAS,NBA,6.5,78,78,2836,23.2,.190,.368,2.3,10.7,46.9,2.7,1.5,16.2,30.6,110,108,5.7,3.0,8.8,.149,3.8,0.3,4.1,4.4
53,Kent Bazemore\bazemke01,2016-17,27,ATL,NBA,6.4,73,64,1963,11.5,.368,.233,2.6,10.2,14.2,2.3,2.3,13.6,20.5,97,106,-0.6,2.8,2.1,.052,-2.0,1.2,-0.8,0.6
54,Randy Foye\foyera01,2016-17,33,BRK,NBA,6.4,69,40,1284,7.3,.625,.194,0.8,11.9,15.2,1.3,0.5,18.5,14.4,95,113,-0.6,0.7,0.2,.006,-3.0,-1.0,-3.9,-0.6
55,Jrue Holiday\holidjr01,2016-17,26,NOP,NBA,6.4,67,61,2190,17.1,.314,.188,2.2,10.6,35.9,2.2,1.6,16.7,23.5,104,108,1.2,2.6,3.8,.084,1.2,0.5,1.7,2.0
56,Ben McLemore\mclembe01,2016-17,23,SAC,NBA,6.4,61,26,1176,9.8,.406,.222,1.9,10.8,6.9,1.2,0.5,11.9,20.1,99,114,-0.1,0.5,0.4,.015,-2.1,-2.7,-4.8,-0.8
57,Derrick Rose\rosede01,2016-17,28,NYK,NBA,6.4,64,64,2082,17.0,.061,.259,3.4,9.3,22.8,1.1,0.7,11.9,25.7,108,115,2.4,0.6,3.0,.068,0.2,-2.2,-1.9,0.0
58,Malcolm Brogdon\brogdma01,2016-17,24,MIL,NBA,6.3,75,28,1982,14.9,.304,.198,2.8,9.6,24.4,2.2,0.5,14.1,18.5,111,111,2.6,1.5,4.1,.100,0.7,-1.1,-0.5,0.8
59,Goran Dragic\dragigo01,2016-17,30,MIA,NBA,6.3,73,73,2459,19.8,.256,.336,2.7,9.9,29.0,1.8,0.4,14.1,27.1,113,109,5.0,2.6,7.6,.147,3.4,-0.7,2.7,2.9
60,Dante Exum\exumda01,2016-17,21,UTA,NBA,6.2,66,26,1228,8.5,.409,.201,2.9,9.3,14.2,0.9,0.8,16.8,18.1,100,109,-0.1,1.3,1.2,.046,-2.0,-0.5,-2.5,-0.2
61,Shaun Livingston\livinsh01,2016-17,31,GSW,NBA,6.2,76,3,1345,10.1,.009,.190,2.4,9.4,13.5,1.4,1.2,15.1,12.9,110,108,1.1,1.6,2.6,.094,-2.5,0.5,-2.0,0.0
